Latitude, Longitude
40.491952, -78.39326
43.96883, -74.145633
40.907757, -80.362857
40.252044, -75.125153
42.261177, -77.787949
42.645692, -74.320201
43.155516, -77.581812
43.148118, -77.593866
39.866679, -75.446564
40.224701, -76.51296
42.914409, -76.219585
40.112822, -77.023848
40.112765, -77.023815
40.731647, -74.016985
40.75962, -80.373386
40.027238, -76.741228
43.070868, -77.41266
41.971932, -80.000662
42.013787, -79.52695
42.776284, -73.671019
42.778279, -73.633147
41.256878, -75.808689
41.971914, -80.000603
43.13405, -77.639462
39.904336, -76.727479
40.757668, -75.208859
40.719051, -75.217403
43.148014, -77.59424
41.093497, -75.061165
43.185867, -77.610844
43.651066, -73.800634
41.904507, -76.390902
42.344437, -77.328007
42.528778, -79.012224
42.528815, -79.012137
40.744022, -75.348499
43.08108, -78.874183
41.992355, -80.268598
40.129716, -74.849433
40.103138, -77.061459
40.213383, -74.813043
40.115909, -75.146382
43.227969, -77.71459
40.213451, -74.812878
40.160197, -75.20532
40.44457, -75.884947
42.761196, -78.83584
40.238821, -76.830382
40.103145, -77.061473
