Latitude	 Longitude
42.17322541	-76.86440251
42.11592656	-77.07248467
43.144973	-77.6591292
43.20702776	-77.65752696
42.12787085	-76.84918126
43.1052723	-77.6178451
42.8618215	-77.8677695
43.05799047	-76.21569057
43.100563	-77.45219802
43.13077647	-77.63117353
43.15644021	-77.59913371
42.15571182	-77.07909027
42.5691824	-76.2196443
43.2094767	-77.9513183
43.10101833	-77.61039667
42.92530762	-76.56480439
42.0950379	-76.8188316
43.06096204	-77.2288375
43.16870449	-77.60326068
43.1703886	-77.6578246
43.03009534	-77.68165563
43.028065	-76.1488987
43.0031677	-76.15880595
43.1669997	-77.58981663
42.97205871	-76.81884077
42.13217022	-77.50168928
43.01833277	-78.13467725
43.15421166	-76.2158312
43.05701026	-76.22301025
43.1861815	-77.616399
43.16843743	-77.60372035
43.21346955	-77.95725222
42.17261188	-76.84524712
43.035234	-76.13928
43.0033844	-76.1966525
43.16876127	-77.60331441
42.59688142	-76.18044393
42.09199724	-76.79137066
43.07739131	-76.13713228
43.13737163	-77.76743214
43.20305549	-77.46934316
43.09797335	-76.13459517
42.20315932	-77.13582717
43.14087607	-77.60716447
42.59519291	-76.17174009
43.24285231	-77.91369117
42.87498247	-77.24617741
42.17263119	-76.84537107
42.98876622	-76.14716504
43.1671218	-77.5899917
43.03783175	-76.14092813
42.442703	-76.498375
43.17306787	-76.31530928
42.86686502	-76.53395255
43.03970297	-76.27098885
43.1451676	-77.6393077
42.45507338	-76.477777
42.98237549	-76.24905718
43.16700386	-77.5898123
43.085869	-76.8684509
43.0281256	-76.1488188
43.0556682	-76.1401401
43.03363773	-76.16050658
43.10086152	-77.6088008
43.22179779	-77.67264033
43.14503881	-77.65017109
43.06945402	-76.12133322
43.153567	-77.6109657
42.42008669	-76.50326643
43.05426848	-77.63187373
43.08035566	-77.95048063
43.04375931	-76.12726024
43.14331076	-77.58768149
42.95297591	-76.55460311
43.0155181	-78.2022589
43.2534226	-77.6600347
43.0651577	-77.5257815
43.1780187	-77.6249963
43.16830605	-77.60385637
42.59365294	-76.19274373
43.06175961	-76.11997729
43.03471582	-76.13886626
43.06393222	-76.1559335
42.6565299	-77.04882979
43.0864088	-76.1797502
43.1861815	-77.616399
42.98880173	-76.14738914
42.98949188	-76.29562131
43.17848709	-77.58547269
42.08067117	-76.80834925
43.20389966	-77.72478884
42.59095676	-76.19291901
43.0125879	-76.1958271
43.0722891	-76.16879335
42.07190363	-76.80960396
42.91079108	-76.78504298
42.9773352	-77.34305522
42.98876618	-76.14716192
42.97769747	-76.97783257
42.92165567	-76.55575306
42.84846878	-76.18486786
42.16162343	-77.08461282
43.07939434	-76.11952275
42.25834815	-77.78403769
43.05168365	-76.25422932
43.0026238	-78.1631113
43.1671033	-77.5900665
42.65647302	-77.04886203
42.8216703	-76.1110011
43.08861611	-77.96780457
42.7265584	-77.5156225
43.1451535	-77.6392917
43.1319931	-76.2570485
42.60084355	-76.18603464
